Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Row / En
bande",0,0,51,0,51
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Apt &
Other /
App. &
autres",7,50,847,21,925
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,Total,7,50,898,21,976
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Row / En
bande",--,--,--,--,--
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Apt &
Other /
App. &
autres",0,1,10,7,18
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,Total,0,1,10,7,18
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Row / En
bande",0,0,3,16,19
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Apt &
Other /
App. &
autres",29,24,36,2,91
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,Total,29,24,39,18,110
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Row / En
bande",0,7,14,0,21
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Apt &
Other /
App. &
autres",0,0,8,0,8
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),Total,0,7,22,0,29
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",0,7,71,16,94
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",36,152,"1,093",30,"1,311"
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,Total,36,159,"1,164",46,"1,405"
N.S./N.-É.,Halifax,Total,Total,"Row / En
bande",9,66,218,325,618
N.S./N.-É.,Halifax,Total,Total,"Apt &
Other /
App. &
autres","2,665","17,396","26,798","3,910","50,769"
N.S./N.-É.,Halifax,Total,Total,Total,"2,674","17,462","27,016","4,235","51,387"
N.S./N.-É.,Total,Total,Total,"Row / En
bande",9,66,218,325,618
N.S./N.-É.,Total,Total,Total,"Apt &
Other /
App. &
autres","2,665","17,396","26,798","3,910","50,769"
N.S./N.-É.,Total,Total,Total,Total,"2,674","17,462","27,016","4,235","51,387"
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Row / En
bande",1,4,8,2,15
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Apt &
Other /
App. &
autres",104,807,935,61,"1,907"
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),Total,105,811,943,63,"1,922"
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Row / En
bande",0,0,11,0,11
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Apt &
Other /
App. &
autres",44,341,715,115,"1,215"
