Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Apt &
Other /
App. &
autres",**,,"$1,105",c,"$1,709",a,"$1,867",a,"$1,574",b
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,Total,**,,**,,"$1,709",a,"$1,869",a,"$1,597",b
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Row / En
bande",--,,--,,**,,--,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Apt &
Other /
App. &
autres",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,Total,--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Row / En
bande",--,,--,,**,,--,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Apt &
Other /
App. &
autres",**,,$801,b,$755,a,**,,$782,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,Total,**,,$801,b,$755,a,**,,$782,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Apt &
Other /
App. &
autres",--,,**,,**,,--,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),Total,--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",--,,**,,**,,"$1,870",a,"$1,852",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",$880,a,$994,b,"$1,554",a,"$1,545",c,"$1,393",b
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,Total,$880,a,"$1,043",b,"$1,554",a,"$1,776",a,"$1,422",b
N.S./N.-É.,Halifax,Total,Total,"Row / En
bande",**,,**,,"$1,075",c,"$1,622",c,"$1,418",c
N.S./N.-É.,Halifax,Total,Total,"Apt &
Other /
App. &
autres",$902,a,"$1,084",a,"$1,335",a,"$1,564",a,"$1,244",a
N.S./N.-É.,Halifax,Total,Total,Total,$902,a,"$1,085",a,"$1,334",a,"$1,569",a,"$1,247",a
