Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)","Apt &
Other /
App. &
autres",$586,a,$758,a,$818,a,$917,a,$804,a
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,"Downtown Dartmouth ~ Dartmouth
(centre-ville)",Total,$586,a,$758,a,$818,a,$917,a,$804,a
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Row / En
bande",--,,--,,--,,**,,**,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,"Apt &
Other /
App. &
autres",$843,b,$959,b,$1425,a,**,,$1266,b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Woodside/Eastern Passage,Total,$843,b,$959,b,$1425,a,$1580,b,$1262,b
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Row / En
bande",--,,--,,--,,**,,**,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,"Apt &
Other /
App. &
autres",$723,c,$801,a,$1022,a,$963,a,$928,a
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,Total,$723,c,$801,a,$1022,a,$959,a,$927,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Apt &
Other /
App. &
autres",**,,$1103,a,$1506,a,**,,$1428,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris",Total,**,,$1103,a,$1506,a,**,,$1428,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Apt &
Other /
App. &
autres",**,,$675,a,$769,a,$792,a,$745,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,Total,**,,$675,a,$769,a,$856,a,$754,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Apt &
Other /
App. &
autres",**,,**,,$835,a,**,,$820,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,Total,**,,**,,$835,a,**,,$820,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Apt &
Other /
App. &
autres",$766,a,$808,b,$1086,a,$843,a,$1012,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,Total,$766,a,$808,b,$1086,a,$890,a,$1014,a
N.S./N.-É.,Halifax,Bedford,Bedford,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Bedford,Bedford,"Apt &
Other /
App. &
autres",**,,$843,a,$1278,a,$1498,a,$1249,a
N.S./N.-É.,Halifax,Bedford,Bedford,Total,**,,$843,a,$1279,a,$1498,a,$1250,a
N.S./N.-É.,Halifax,Bedford,Total,"Row / En
bande",--,,--,,**,,**,,**,
N.S./N.-É.,Halifax,Bedford,Total,"Apt &
Other /
App. &
autres",**,,$843,a,$1278,a,$1498,a,$1249,a
N.S./N.-É.,Halifax,Bedford,Total,Total,**,,$843,a,$1279,a,$1498,a,$1250,a
N.S./N.-É.,Halifax,Sackville,Sackville,"Row / En
bande",--,,--,,$1444,a,$1453,a,$1449,a
N.S./N.-É.,Halifax,Sackville,Sackville,"Apt &
Other /
App. &
autres",**,,$985,a,$1082,a,$1286,a,$1093,a
N.S./N.-É.,Halifax,Sackville,Sackville,Total,**,,$985,a,$1092,a,$1309,a,$1109,a
N.S./N.-É.,Halifax,Sackville,Total,"Row / En
bande",--,,--,,$1444,a,$1453,a,$1449,a
N.S./N.-É.,Halifax,Sackville,Total,"Apt &
Other /
App. &
autres",**,,$985,a,$1082,a,$1286,a,$1093,a
N.S./N.-É.,Halifax,Sackville,Total,Total,**,,$985,a,$1092,a,$1309,a,$1109,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Apt &
Other /
App. &
autres",--,,$816,a,$1130,a,--,,$1036,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,Total,--,,$816,a,$1130,a,--,,$1036,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Row / En
bande",--,,--,,**,,--,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Apt &
Other /
App. &
autres",**,,**,,$1555,a,$1707,a,$1549,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,Total,**,,**,,$1554,a,$1707,a,$1549,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Apt &
Other /
App. &
autres",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,Total,--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Row / En
bande",--,,--,,**,,$1375,a,$1375,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Apt &
Other /
App. &
autres",**,,**,,$678,a,**,,$671,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,Total,**,,**,,$678,a,$1375,a,$923,c
