Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Eringate-Centennial-West Deane,Total,10,148,315,146,619
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Princess-Rosethorn,"Row / En
bande",0,0,28,12,40
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Princess-Rosethorn,"Apt &
Other /
App. &
autres",1,119,244,103,467
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Princess-Rosethorn,Total,1,119,272,115,507
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Edenbridge-Humber Valley,"Row / En
bande",0,0,24,99,123
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Edenbridge-Humber Valley,"Apt &
Other /
App. &
autres",52,847,"1,226",188,"2,313"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Edenbridge-Humber Valley,Total,52,847,"1,250",287,"2,436"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Humber Heights-Westmount,"Row / En
bande",--,--,--,--,--
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Humber Heights-Westmount,"Apt &
Other /
App. &
autres",2,250,607,125,984
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Humber Heights-Westmount,Total,2,250,607,125,984
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Willowridge-Martingrove-Richview,"Row / En
bande",0,0,57,134,191
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Willowridge-Martingrove-Richview,"Apt &
Other /
App. &
autres",4,621,"1,487",652,"2,764"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Willowridge-Martingrove-Richview,Total,4,621,"1,544",786,"2,955"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),"Kingsview Village-The Westway ~ Village
Kingsview-The Westway","Row / En
bande",0,0,26,41,67
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),"Kingsview Village-The Westway ~ Village
Kingsview-The Westway","Apt &
Other /
App. &
autres",17,711,"1,373",397,"2,498"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),"Kingsview Village-The Westway ~ Village
Kingsview-The Westway",Total,17,711,"1,399",438,"2,565"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Total,"Row / En
bande",0,0,153,394,547
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Total,"Apt &
Other /
App. &
autres",311,"4,972","8,215","2,481","15,979"
Ont./Ont.,Toronto,Etobicoke (Central) ~ Etobicoke (Centre),Total,Total,311,"4,972","8,368","2,875","16,526"
