Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Ont.,London,St. Thomas,St. Thomas (West),Row,,,,,,2019
Ont.,London,St. Thomas,St. Thomas (West),Apt & Other,56.0,521.0,575.0,27.0,1179.0,2019
Ont.,London,St. Thomas,St. Thomas (South),Row,1.0,3.0,31.0,26.0,61.0,2019
Ont.,London,St. Thomas,St. Thomas (South),Apt & Other,6.0,145.0,332.0,5.0,488.0,2019
Ont.,London,St. Thomas,St. Thomas (East),Row,0.0,0.0,4.0,17.0,21.0,2019
Ont.,London,St. Thomas,St. Thomas (East),Apt & Other,2.0,83.0,388.0,13.0,486.0,2019
Ont.,London,St. Thomas,St. Thomas (North),Row,0.0,0.0,0.0,10.0,10.0,2019
Ont.,London,St. Thomas,St. Thomas (North),Apt & Other,23.0,151.0,307.0,2.0,483.0,2019
Ont.,London,Strathroy-Caradoc,Strathroy-Caradoc,Row,11.0,4.0,97.0,18.0,130.0,2019
Ont.,London,Strathroy-Caradoc,Strathroy-Caradoc,Apt & Other,10.0,208.0,399.0,6.0,623.0,2019
Ont.,London,Remainder of CMA,Remainder of CMA,Row,0.0,0.0,4.0,0.0,4.0,2019
