Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Apt &
Other",**,',2.80%,c,1.40%,a,**,',1.80%,c
N.S.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,Total,**,',2.80%,c,1.40%,a,1.30%,d,1.80%,c
N.S.,Halifax,Bedford,Bedford,Row,--,',--,',**,',**,',**,'
N.S.,Halifax,Bedford,Bedford,"Apt &
Other",**,',**,',0.50%,a,2.20%,c,0.90%,a
N.S.,Halifax,Bedford,Bedford,Total,**,',**,',0.50%,a,2.10%,c,0.90%,a
N.S.,Halifax,Bedford,Total,Row,--,',--,',**,',**,',**,'
N.S.,Halifax,Bedford,Total,"Apt &
Other",**,',**,',0.50%,a,2.20%,c,0.90%,a
N.S.,Halifax,Bedford,Total,Total,**,',**,',0.50%,a,2.10%,c,0.90%,a
N.S.,Halifax,Sackville,Sackville,Row,--,',--,',**,',**,',**,'
N.S.,Halifax,Sackville,Sackville,"Apt &
Other",**,',0.00%,d,1.40%,a,**,',1.20%,a
N.S.,Halifax,Sackville,Sackville,Total,**,',0.00%,d,1.40%,a,**,',1.20%,a
N.S.,Halifax,Sackville,Total,Row,--,',--,',**,',**,',**,'
N.S.,Halifax,Sackville,Total,"Apt &
Other",**,',0.00%,d,1.40%,a,**,',1.20%,a
N.S.,Halifax,Sackville,Total,Total,**,',0.00%,d,1.40%,a,**,',1.20%,a
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,Row,--,',--,',**,',--,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Apt &
Other",--,',**,',**,',--,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,Total,--,',**,',**,',--,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,Row,--,',**,',**,',**,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Apt &
Other",**,',0.00%,d,0.10%,b,**,',0.10%,b
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,Total,**,',0.00%,d,0.10%,b,0.00%,d,0.10%,b
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,Row,--,',--,',**,',--,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Apt &
Other",--,',**,',**,',**,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,Total,--,',**,',**,',**,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,Row,--,',--,',**,',--,',**,'
N.S.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Apt &
Other",**,',**,',**,',**,',**,'
